Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Supplier Group,City,State,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers
"A & K DESIGNS, INC.",FINISHED GOODS,APPAREL,NIKE,A & K DESIGNS,PORTLAND,OREGON,97220,United States of America,AMERICAS,130,90,71.00%,0.00%
"ACODE SPORTING GOODS CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),VIETNAM,BÌNH DUONG,82617,Vietnam,SE ASIA,289,233,1.00%,0.40%
ADORA FOOTWEAR LIMITED,FINISHED GOODS,FOOTWEAR,Converse,HUALI,NINH BINH PROVINCE,NINH BÌNH,8000,Vietnam,SE ASIA,9056,8806,88.00%,0.00%
AJARA 1,FINISHED GOODS,APPAREL,NIKE,MILTEKS,KOBULETI,AJARIA,6200,Georgia,EMEA,1061,820,99.00%,0.00%
AJARA TEXTILE LTD,FINISHED GOODS,APPAREL,NIKE,MILTEKS,POTI,SAMEGRELO-ZEMO SVA,4400,Georgia,EMEA,1351,1111,96.00%,0.00%
"ALL WELLS INTERNATIONAL CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,SPORTS GEAR,PHU MY,BÀ RA - VUNG TÀU,790000,Vietnam,SE ASIA,3273,2495,83.00%,0.00%
ALMAXTEX TEKSTIL SANAYI VE TICARET A.S.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,YESIM,BURSA,BURSA,16580,Turkey,EMEA,3199,2234,55.00%,0.10%
ANDBRAVA SRL,FINISHED GOODS,EQUIPMENT,Converse,NO GROUP (EQ),SAN MARTIN,BUENOS AIRES,B1650,Argentina,AMERICAS,7,5,1.00%,20.00%
ANHUI COSMO SPORTING GOODS COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,ANHUI COSMO,LU'AN CITY,ANHUI,237321,China,N ASIA,360,308,91.00%,0.00%
ANIGER CALCADOS SUPRIMENTOS E EMPREENDIMENTOS LTDA,FINISHED GOODS,FOOTWEAR,NIKE,ANIGER,CAMPO BOM – RS,RIO GRANDE DO SUL,93700-000,Brazil,AMERICAS,372,41,60.00%,0.00%
ANNIC II S.A.,FINISHED GOODS,APPAREL,NIKE,GILDAN,MASATEPE,MANAGUA,0,Nicaragua,AMERICAS,3564,3276,49.00%,0.20%
"ANNORA VIETNAM  FOOTWEAR CO.,LTD",FINISHED GOODS,FOOTWEAR,NIKE,HUALI,NGHI SON TOWNSHIP,THANH HÓA,450000,Vietnam,SE ASIA,19958,19009,87.00%,0.00%
ARTFX CONCORD,FINISHED GOODS,APPAREL,NIKE,TEGRA,CONCORD,NORTH CAROLINA,28025,United States of America,AMERICAS,113,103,52.00%,0.00%
ARTFX INC,FINISHED GOODS,APPAREL,NIKE,TEGRA,NORFOLK,VIRGINIA,23502,United States of America,AMERICAS,534,496,35.00%,7.70%
ASENA 3 TEXTIL S.R.L.,FINISHED GOODS,APPAREL,NIKE,YESIM,CEADIR LUNGA,,7401,Moldova,EMEA,352,270,91.00%,0.00%
ASENA 4,FINISHED GOODS,APPAREL,NIKE,YESIM,"KONGAZ,COMRAT",GAGAUZIA-- UNITATE,3819,Moldova,EMEA,798,580,94.00%,0.00%
ASENA TEXTILE,FINISHED GOODS,APPAREL,NIKE,YESIM,KAZAYAK,GAGAUZIA-- UNITATE,6113,Moldova,EMEA,214,135,99.00%,0.00%
"ATOMS., INC",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),SAKURAI,NARA,6330067,Japan,N ASIA,2,1,0.00%,0.00%
AURORA INDUSTRIAL VIETNAM FOOTWEAR,FINISHED GOODS,FOOTWEAR,Converse,HUALI,HAI PHONG,HAI PHONG,180000,Vietnam,SE ASIA,7261,6528,85.00%,0.00%
AVERY DENNISON RIS HONDURAS S DE R,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,AVERY DENNISON,VILLANUEVA,CORTÉS,504,Honduras,AMERICAS,956,777,37.00%,0.10%
BADGE PROMOTIONS BV,FINISHED GOODS,APPAREL,NIKE,EUROCAP,WOERDEN,UTRECHT,3442 AC,Netherlands,EMEA,13,12,35.00%,25.00%
BAIKSAN CO. LTD.,MATERIALS,MATERIALS,NIKE,BAIKSAN,SIHEUNG-SI,BUSAN,0,South Korea,N ASIA,,,0.00%,0.00%
BAIKSAN INDONESIA,MATERIALS,MATERIALS,NIKE,BAIKSAN,TANGERANG,BANTEN,15710,Indonesia,S ASIA,,,0.00%,0.00%
BAIKSAN VIETNAM,MATERIALS,MATERIALS,NIKE,BAIKSAN,HUYEN TAN UYEN & BEN CAT,BINH DUONG,0,Vietnam,SE ASIA,,,0.00%,0.00%
"BC GRAPHICS, INC",FINISHED GOODS,APPAREL,NIKE,BC GRAPHICS,BEAVERTON,OREGON,97005,United States of America,AMERICAS,28,25,65.00%,0.00%
"BERRY APPAREL CAMBODIA CO., LTD.",FINISHED GOODS,APPAREL,NIKE,TAI WAH,PHNOM PENH,PHNOM PENH,12405,Cambodia,SE ASIA,3145,3000,91.00%,0.00%
BIG GAME SPORTS,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),DALLAS,TEXAS,75244,United States of America,AMERICAS,46,34,26.00%,0.00%
BLUE STAR GRAPHICS,FINISHED GOODS,APPAREL,NIKE,BLUE STAR,FRISCO,TEXAS,75034,United States of America,AMERICAS,53,48,73.00%,0.00%
BODYLINE PRIVATE LIMITED - BALANGODA,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,BALANGODA,,70100,Sri Lanka,S ASIA,1096,772,85.00%,0.00%
BODYLINE PRIVATE LIMITED III,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,AGALAWATTA,RATNAPURA,12200,Sri Lanka,S ASIA,958,645,98.00%,0.00%
BODYLINE PVT LIMITED,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,HORANA,KALUTARA,12400,Sri Lanka,S ASIA,4666,3305,78.00%,0.00%
BODYLINE PVT LIMITED BPL II,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,AGALAWATTA,RATNAPURA,12200,Sri Lanka,S ASIA,2256,1875,86.00%,0.00%
"BOU JIN YANGZHOU GARMENTS CO., LTD",FINISHED GOODS,APPAREL,NIKE,TIEN POU,YANGZHOU,JIANGSU,225000,China,N ASIA,838,525,81.00%,0.00%
"BRANCH OF THUAN PHUONG EMBROIDERIES GARMENTS CO., LTD- M.D.K FACTORY",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),HO CHI MINH CITY,HO CHI MINH,70000,Vietnam,SE ASIA,1162,891,78.00%,0.00%
BRANCH OF THUAN PHUONG EMBROIDERIES GARMENTS COMPANY LIMITED - THUAN PHUONG LONG AN FACTORY,FINISHED GOODS,APPAREL,NIKE,THUAN PHUONG,CAN DUON,LONG AN,,Vietnam,SE ASIA,1464,652,67.00%,0.00%
BRANDIX APPAREL SOLUTION LTD - ESSENTIALS,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),BATTICALOA,BATTICALOA,30000,Sri Lanka,S ASIA,4204,3972,92.00%,0.00%
BRANDIX APPAREL SOLUTION LTD - ESSENTIALS KOGGALA,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),HABARADUWA,GALLE,80630,Sri Lanka,S ASIA,1538,1412,76.00%,0.00%
BUMCHANG DOORI,FINISHED GOODS,EQUIPMENT,NIKE,BUMCHANG DOORI,SUNGNAM-SI,GYEONGGIDO,461-182,South Korea,N ASIA,12,10,45.00%,0.00%
"C&K VINA CO.,LTD",FINISHED GOODS,FOOTWEAR,NIKE,TAEKWANG,CHON THAN DISTRICT,BÌNH PHUC,83000,Vietnam,SE ASIA,1804,1650,86.00%,0.00%
"C&W EMBROIDERY, INC.",FINISHED GOODS,APPAREL,NIKE,C&W,RIENZI,MISSISSIPPI,38865,United States of America,AMERICAS,119,100,80.00%,0.00%
C.C. CREATIONS,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),BRYAN,TEXAS,77803,United States of America,AMERICAS,136,112,55.00%,0.00%
CALCETINES DE EXPORTACION SAN JOSE S.A. DE C.V,FINISHED GOODS,APPAREL,Converse,NO GROUP (AP),COLONIA BUGAMBILIAS,PUEBLA,72580,Mexico,AMERICAS,13,11,1.00%,9.10%
"CAN SPORTS VIETNAM CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,SPORTS GEAR,DUONG MINH CHAU DISTRICT,TÂY NINH,730000,Vietnam,SE ASIA,7809,6128,75.00%,0.00%
"CCH TOP VN CO., LTD.",FINISHED GOODS,APPAREL,NIKE,CHUAN CHENG,HO CHI MINH,HO CHI MINH,7000,Vietnam,SE ASIA,2144,2067,85.00%,58.40%
CHANG SHIN INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,CHANGSHIN,KARAWANG,JAWA BARAT,41371,Indonesia,S ASIA,16271,15445,87.00%,0.30%
"CHANG SHIN VIETNAM CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,CHANGSHIN,LONG THANH DISTRICT,ÐNG NAI,,Vietnam,SE ASIA,5690,5565,93.00%,0.00%
"CHANG SHIN VIETNAM COMPANY, LTD.",FINISHED GOODS,FOOTWEAR,NIKE,CHANGSHIN,DONG NAI,ÐNG NAI,76000,Vietnam,SE ASIA,26853,25413,80.00%,54.50%
"CHANG WONG INDUSTRIAL CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),TAICHUNG CITY,TAICHUNG,42084,Taiwan,N ASIA,23,14,42.00%,0.00%
CHANGSHIN INC.,FINISHED GOODS,FOOTWEAR,NIKE,CHANGSHIN,BUSAN,BUSAN GWANGYEOGSI,604-030,South Korea,N ASIA,957,318,52.00%,0.00%
"CHENG HORNG INDUSTRIAL CO., LTD.",MATERIALS,MATERIALS,NIKE,LITTLE KING INDUSTRIES CO. LTD.,TAOYUAN,KAO-HSIUNG,324,Taiwan,N ASIA,,,0.00%,0.00%
"CHONGQING SUMEC CHANGJIANG GARMENT CO.,LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),CHONGQING,CHONGQING,404000,China,N ASIA,227,192,85.00%,0.00%
"CHUAN CHENG HAT CO., LTD.",FINISHED GOODS,APPAREL,NIKE,CHUAN CHENG,TAICHUNG,KAOHSIUNG,428,Taiwan,N ASIA,131,113,82.00%,16.80%
"CHUZHOU KORRUN FUTURE LUGGAGE PRODUCTS CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,FORMOSA,CHUZHOU,ANHUI,239000,China,N ASIA,575,450,85.00%,0.00%
COCALQUI COOPERATIVA DE TRABALHO DA INDÚSTRIA DE CALÇADOS DE QUIXERAMOBIM,FINISHED GOODS,FOOTWEAR,NIKE,ANIGER,QUIXERAMOBIM,CEARÁ,63800-000,Brazil,AMERICAS,3876,3765,55.00%,0.00%
COLLITEX S.R.L.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,AVERY DENNISON,ANCARANO,TERAMO,64010,Italy,EMEA,406,289,47.00%,1.40%
"COLLTEX GARMENT MFY CO., LTD.(VN)",FINISHED GOODS,APPAREL,NIKE,ECLAT,TRANG BANG,TÂY NINH,843440,Vietnam,SE ASIA,2206,1879,92.00%,0.00%
CONG TIEN GARMENT JOINT STOCK COMPANY,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,GO CONG,TIN GIANG,84,Vietnam,SE ASIA,1930,1605,84.00%,0.00%
CONG TY TNHH MAY MAC PREMIER GLOBAL VIETNAM,FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,TINH BINH DUONG,BÌNH DUONG,82000,Vietnam,SE ASIA,2032,1000,77.00%,2.80%
COOPERATIVA TEXTIL SEUCA LTDA.,FINISHED GOODS,APPAREL,Converse,NO GROUP (AP),GUAYMALLEN,MENDOZA,M5521,Argentina,AMERICAS,21,20,1.00%,5.00%
COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CALÇADOS JOANETENSE LTDA (PICADA CAFÉ),FINISHED GOODS,FOOTWEAR,"NIKE, Converse",COOPERSHOES,PICADA CAFE,RIO GRANDE DO SUL,95175-000,Brazil,AMERICAS,2022,1954,55.00%,0.00%
COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CALCADOS JOANETENSE LTDA GARIBALDI,FINISHED GOODS,FOOTWEAR,Converse,NO GROUP (FW),GARIBALDI,RIO GRANDE DO SUL,95720-000,Brazil,AMERICAS,116,111,90.00%,0.00%
