Brand;Retailer ID;Invoice Date;Region;State;City;Units Sold;Operating Profit;Operating Margin;Sales Method;Product Name;Product ID
NIKE;1185732;01/01/2020;Northeast;New York;New York;1.200;$300.000 ;50%;In-store;Nike Air Force 1 '07 Essential;CJ1646-600
NIKE;1185732;02/01/2020;Northeast;New York;New York;1.000;$150.000 ;30%;In-store;Nike Air Force 1 '07;CT4328-101
NIKE;1185732;03/01/2020;Northeast;New York;New York;1.000;$140.000 ;35%;In-store;Nike Air Force 1 Sage Low LX;CI3482-200
NIKE;1185732;04/01/2020;Northeast;New York;New York;850;$133.875 ;35%;In-store;Nike Air Max Dia SE;CD0479-200
NIKE;1185732;05/01/2020;Northeast;New York;New York;900;$162.000 ;30%;In-store;Nike Air Max Verona;CZ6156-101
NIKE;1185732;06/01/2020;Northeast;New York;New York;1.000;$125.000 ;25%;In-store;Nike Free Metcon 3;CJ6314-146
NIKE;1185732;07/01/2020;Northeast;New York;New York;1.250;$312.500 ;50%;In-store;NikeCourt Blanc;CI0808-100
NIKE;1185732;08/01/2020;Northeast;New York;New York;900;$135.000 ;30%;Outlet;Nike Free Metcon 3;CJ0861-017
NIKE;1185732;21/01/2020;Northeast;New York;New York;950;$133.000 ;35%;Outlet;Nike Zoom Pegasus Turbo 2;AT8242-009
NIKE;1185732;22/01/2020;Northeast;New York;New York;825;$129.938 ;35%;Outlet;Nike Air Max 270 React ENG;CK2595-500
NIKE;1185732;23/01/2020;Northeast;New York;New York;900;$162.000 ;30%;Outlet;Nike Air Max 90;CD0490-104
NIKE;1185732;24/01/2020;Northeast;New York;New York;1.000;$125.000 ;25%;Outlet;Nike Air Force 1 '07;315115-112
NIKE;1185732;25/01/2020;Northeast;New York;New York;1.220;$305.000 ;50%;Outlet;Jordan Air Max 200 XX;AV5186-101
NIKE;1185732;26/01/2020;Northeast;New York;New York;925;$138.750 ;30%;Outlet;Nike SuperRep Go;CJ0860-668
NIKE;1185732;27/01/2020;Northeast;New York;New York;950;$133.000 ;35%;Outlet;Nike Air VaporMax Flyknit 3;AJ6910-009
NIKE;1185732;28/01/2020;Northeast;New York;New York;800;$126.000 ;35%;Outlet;Nike Air Zoom SuperRep;BQ7043-668
NIKE;1185732;29/01/2020;Northeast;New York;New York;850;$153.000 ;30%;Outlet;Nike Air Max 270 React ENG;CK2608-100
NIKE;1185732;30/01/2020;Northeast;New York;New York;950;$118.750 ;25%;Outlet;Nike Air Max 97;921733-104
NIKE;1185732;31/01/2020;Northeast;New York;New York;1.200;$300.000 ;50%;Outlet;Nike Air Force 1 '07;CJ1379-001
NIKE;1185732;01/02/2020;Northeast;New York;New York;900;$135.000 ;30%;Outlet;Nike Court Vintage Premium;CT1726-100
NIKE;1185732;02/02/2020;Northeast;New York;New York;900;$126.000 ;35%;Outlet;Nike Air Max 97;CT4525-001
NIKE;1185732;03/02/2020;Northeast;New York;New York;825;$129.938 ;35%;Outlet;Nike SB Bruin High;923112-001
NIKE;1185732;04/02/2020;Northeast;New York;New York;825;$148.500 ;30%;Outlet;Air Jordan XXXIV PF;BQ3381-600
NIKE;1185732;05/02/2020;Northeast;New York;New York;950;$118.750 ;25%;Outlet;Nike Metcon 5;AO2982-076
NIKE;1185732;06/02/2020;Northeast;New York;New York;1.220;$366.000 ;50%;Outlet;Nike React Phantom Run Flyknit 2;CJ0277-002
NIKE;1185732;07/02/2020;Northeast;New York;New York;925;$152.625 ;30%;Outlet;Nike Joyride Run Flyknit;AQ2730-009
NIKE;1185732;08/02/2020;Northeast;New York;New York;900;$157.500 ;35%;Outlet;Nike Air Max 90;CT1030-100
NIKE;1185732;09/02/2020;Northeast;New York;New York;850;$148.750 ;35%;Outlet;Nike Air VaporMax 360;CK9671-001
NIKE;1185732;10/02/2020;Northeast;New York;New York;875;$157.500 ;30%;Outlet;Nike Offcourt;BQ4632-602
NIKE;1185732;03/03/2020;Northeast;New York;New York;1.000;$162.500 ;25%;Outlet;Nike React Phantom Run Flyknit 2;CJ0280-001
NIKE;1185732;04/03/2020;Northeast;New York;New York;1.250;$375.000 ;50%;Outlet;Jordan Break;AR6374-402
NIKE;1185732;05/03/2020;Northeast;New York;New York;1.000;$165.000 ;30%;Outlet;LeBron 7 QS;CU5646-001
NIKE;1185732;06/03/2020;Northeast;New York;New York;925;$161.875 ;35%;Outlet;Nike In-Season TR 9;AR4543-013
NIKE;1185732;07/03/2020;Northeast;New York;New York;900;$157.500 ;35%;Outlet;Nike Joyride Run FlyKnit;CI3707-100
NIKE;1185732;08/03/2020;Northeast;New York;New York;900;$162.000 ;30%;Outlet;Nike ZoomX Vista Grind;CQ9500-100
NIKE;1185732;09/03/2020;Northeast;New York;New York;1.050;$170.625 ;25%;Outlet;Nike Air Force 1 Sage Low;CJ1642-002
NIKE;1185732;10/03/2020;Northeast;New York;New York;1.275;$382.500 ;50%;Outlet;Nike Air Force 1 '07 LV8;CD0888-002
NIKE;1185732;11/03/2020;Northeast;New York;New York;1.025;$169.125 ;30%;Outlet;Nike Air Max 720;CI3868-001
NIKE;1185732;12/03/2020;Northeast;New York;New York;950;$166.250 ;35%;Outlet;Nike Air Max Dia;CJ0636-100
NIKE;1185732;13/03/2020;Northeast;New York;New York;900;$157.500 ;35%;Outlet;Air Jordan 1 Mid SE;852542-087
NIKE;1185732;14/03/2020;Northeast;New York;New York;925;$166.500 ;30%;Outlet;Nike Daybreak;CK2351-601
NIKE;1185732;15/03/2020;Northeast;New York;New York;1.100;$178.750 ;25%;Outlet;Nike SB Shane;BV0657-400
NIKE;1185732;16/03/2020;Northeast;New York;New York;1.250;$375.000 ;50%;Outlet;Nike Mercurial Vapor 13 Club Neymar Jr. TF;AT8000-104
NIKE;1185732;17/03/2020;Northeast;New York;New York;1.025;$169.125 ;30%;Outlet;Air Jordan 1 Mid;554724-066
NIKE;1185732;18/03/2020;Northeast;New York;New York;950;$166.250 ;35%;Outlet;Nike Air Max 270 React;CJ0619-100
NIKE;1185732;31/03/2020;Northeast;New York;New York;925;$161.875 ;35%;Outlet;Nike Air Max 98;CJ0592-001
NIKE;1185732;17/04/2020;Northeast;New York;New York;900;$162.000 ;30%;Outlet;Nike Joyride Dual Run Premium;CT3867-001
NIKE;1185732;18/04/2020;Northeast;New York;New York;1.075;$174.688 ;25%;Outlet;Nike Free RN Flyknit 3.0 2020;CJ0267-001
NIKE;1185732;19/04/2020;Northeast;New York;New York;1.200;$360.000 ;50%;Outlet;Nike Mercurial Vapor 13 Club Neymar Jr IC;AT7998-104
NIKE;1185732;20/04/2020;Northeast;New York;New York;1.000;$165.000 ;30%;Outlet;Nike Mercurial Vapor 13 Elite Neymar Jr. FG;AT7898-104
NIKE;1185732;21/04/2020;Northeast;New York;New York;925;$161.875 ;35%;Outlet;PG 4 EP;CD5086-500
NIKE;1185732;22/04/2020;Northeast;New York;New York;900;$157.500 ;35%;Outlet;Air Max 97 LX;CJ0625-700
NIKE;1185732;23/04/2020;Northeast;New York;New York;900;$162.000 ;30%;Outlet;Nike Air Max 90;CT4352-104
NIKE;1185732;24/04/2020;Northeast;New York;New York;1.000;$162.500 ;25%;Outlet;Jordan 'Why Not?' Zer0.3 PF;CD3002-103
NIKE;1185732;25/04/2020;Northeast;New York;New York;875;$170.625 ;30%;Outlet;Nike Air Zoom SuperRep;CD3460-010
NIKE;1185732;26/04/2020;Northeast;New York;New York;1.000;$175.000 ;25%;Outlet;Nike Metcon 5 AMP;CD3395-006
NIKE;1185732;27/04/2020;Northeast;New York;New York;1.150;$373.750 ;50%;Outlet;Nike Air Max Tailwind 99;CQ6569-001
NIKE;1185732;28/04/2020;Northeast;New York;New York;975;$160.875 ;30%;Outlet;Nike Mercurial Vapor 13 Club IC;AT7997-606
NIKE;1185732;29/04/2020;Northeast;New York;New York;920;$177.100 ;35%;Outlet;Nike Air Max 97;CI3708-700
NIKE;1185732;30/04/2020;Northeast;New York;New York;900;$173.250 ;35%;Outlet;Nike Air Max Triax;CT1104-700
NIKE;1185732;01/05/2020;Northeast;New York;New York;875;$170.625 ;30%;Outlet;LeBron 17 Low;CD5007-102
NIKE;1185732;02/05/2020;Northeast;New York;New York;975;$170.625 ;25%;Outlet;Nike Mercurial Vapor 13 Academy Neymar Jr. TF;AT7995-104
NIKE;1185732;03/05/2020;Northeast;New York;New York;1.200;$390.000 ;50%;Outlet;Nike Air Max 2090;BV9977-101
NIKE;1185732;04/05/2020;Northeast;New York;New York;1.000;$165.000 ;30%;Outlet;Nike Renew Fusion;CD0200-003
NIKE;1185732;05/05/2020;Northeast;New York;New York;950;$182.875 ;35%;Outlet;LeBron 17;BQ3177-100
NIKE;1185732;06/05/2020;Northeast;New York;New York;900;$173.250 ;35%;Outlet;Nike Air Max 720 OBJ Slip;DA4155-400
NIKE;1185732;07/05/2020;Northeast;New York;New York;900;$175.500 ;30%;Outlet;Nike SuperRep Go;CJ0773-010
NIKE;1185732;18/07/2020;Northeast;New York;New York;1.000;$175.000 ;25%;Outlet;Nike Air Max 90 Premium;CQ0912-100
NIKE;1197831;19/07/2020;Northeast;New York;New York;900;$78.750 ;35%;Outlet;Nike Mercurial Superfly 7 Elite SE FG;CT1099-093
NIKE;1197831;20/07/2020;Northeast;New York;New York;900;$110.250 ;35%;Outlet;Nike Epic Phantom React A.I.R. Cody Hudson;CI1718-001
NIKE;1197831;21/07/2020;Northeast;New York;New York;700;$85.750 ;35%;Outlet;Nike Air Max 90;CD0490-101
NIKE;1197831;22/07/2020;Northeast;New York;New York;700;$110.250 ;45%;Outlet;Nike Mercurial Superfly 7 Club TF;AT7980-606
NIKE;1197831;23/07/2020;South;Texas;Houston;550;$66.000 ;30%;Outlet;Nike Zoom Gravity;BQ3202-011
NIKE;1197831;24/07/2020;South;Texas;Houston;700;$122.500 ;50%;Outlet;Nike Air Max 270 React ENG;CD0113-400
NIKE;1197831;25/07/2020;South;Texas;Houston;850;$74.375 ;35%;Outlet;Nike Air Force 1 Type;CQ2344-100
NIKE;1197831;26/07/2020;South;Texas;Houston;850;$104.125 ;35%;Outlet;Nike Air Max 270 React;AO4971-700
NIKE;1197831;27/07/2020;South;Texas;Houston;675;$82.688 ;35%;Outlet;Nike React Presto;AV2605-101
NIKE;1197831;28/07/2020;South;Texas;Houston;625;$98.438 ;45%;Outlet;Nike Legend React;AA1625-009
